from,to
1,4
3,4
1,2
25,1
14,16
1,16
22,16
1,2
3,16
2,1
27,1
13,16
1,28
21,1
1,7
32,1
7,27
32,1
32,27
1450,22
37,1
37,1
1,2
37,1
32,1
19,16
40,2
42,2
2,32
2,32
45,3
45,32
40,7
45,44
40,42
50,27
50,16
1,44
54,44
45,44
3,56
19,44
60,32
42,40
42,1
65,2
65,4
65,3
40,2
1,44
66,65
3,66
37,65
45,1
65,2
66,1
66,3
70,65
66,56
66,1
45,44
4,2
4,65
65,75
1,1
37,66
1,71
75,83
86,75
75,85
40,1
66,85
66,85
66,2
75,1
45,85
83,65
83,4
16,16
25,1
66,16
66,3
66,3
78,1
40,91
66,83
25,83
78,83
83,2
45,78
45,2
1,2
40,1
40,2
65,78
65,78
65,83
94,2
100,1
102,3
88,81
102,66
45,91
88,81
66,81
100,1
110,3
40,1
66,16
66,66
27,1
45,1
75,1
3,83
22,66
1004,85
66,83
66,83
66,83
297,22
297,83
297,83
297,2
121,2
66,7
45,126
66,1
66,1
121,2
121,45
121,7
65,83
65,97
65,450
121,65
184,65
132,66
158,151
121,158
200,158
204,164
65,158
65,184
4,83
30,158
213,164
136,164
121,211
136,211
121,65
66,65
83,65
65,3
121,65
121,83
42,1
65,2
65,231
3,238
1,1
75,1
1198,91
297,85
297,85
297,85
110,65
297,85
297,22
184,78
297,259
66,266
121,266
2,184
121,1
65,1
65,66
65,142
65,121
83,142
3,142
11,65
271,65
66,65
184,83
184,1
259,1
22,1
22,66
3,83
136,1
259,83
22,1
121,83
78,1
22,184
22,1
11,273
279,1
184,22
66,65
83,135
25,135
93,266
121,32
284,22
142,135
132,27
284,184
284,142
22,184
284,83
110,83
66,293
45,293
297,2
284,3
132,66
121,93
121,2
299,2
102,184
121,184
121,65
22,65
2,65
83,65
65,78
65,78
75,184
65,83
121,83
75,65
49,83
49,284
93,11
75,11
75,303
25,65
132,1
1464,81
121,83
290,27
121,1657
66,290
22,66
284,66
66,290
25,83
297,290
25,256
297,1657
65,1657
121,259
11,290
302,238
143,256
312,16
45,303
143,16
910,83
2,1
204,16
317,1
317,1657
71,290
121,184
2,259
102,1
323,321
66,321
326,321
327,238
22,321
402,284
284,66
343,284
343,121
348,1
302,83
121,2
347,336
121,132
66,336
1,1
349,16
25,347
75,336
121,290
75,347
36108,3
22,353
349,259
344,1
136,83
360,121
2,83
2,83
349,121
66,361
343,11
1,11
2,361
27,11
25,11
100,121
22,337
22,337
297,2
370,83
370,1657
27,290
22,290
986,297
2,297
367,32
370,259
351,337
376,83
375,83
371,1
378,28
381,284
382,1
381,65
381,83
381,142
381,65
13265,1
13265,1
302,382
360,293
360,65
360,343
66,1
392,1
360,361
392,32
393,1
121,360
345,93
332,83
332,1
25,385
317,343
382,11
317,83
317,399
11,398
401,22
143,3
143,44
317,3
344,1
65,361
317,44
317,303
346,142
350,25
143,85
290,1
405,382
1,332
404,1657
317,290
405,256
2467,1
